iter	Passed	Remaining
0	104	104190
1	106	52944
2	108	35901
3	109	27281
4	111	22207
5	113	18749
6	115	16333
7	116	14486
8	118	13062
9	120	11927
10	122	11007
11	124	10210
12	125	9559
13	127	8984
14	129	8498
15	131	8058
16	132	7679
17	134	7326
18	136	7030
19	137	6761
20	139	6504
21	141	6272
22	143	6086
23	144	5895
24	146	5715
25	148	5562
26	150	5414
27	152	5290
28	153	5150
29	155	5034
30	157	4926
31	159	4820
32	160	4711
33	161	4600
34	162	4487
35	164	4399
36	166	4324
37	167	4236
38	168	4153
39	169	4073
40	170	3992
41	172	3929
42	173	3872
43	175	3802
44	176	3742
45	177	3685
46	178	3622
47	180	3579
48	181	3527
49	182	3472
50	184	3427
51	185	3388
52	187	3350
53	188	3306
54	190	3267
55	191	3224
56	192	3183
57	194	3153
58	195	3112
59	196	3072
60	197	3034
61	198	3001
62	199	2965
63	200	2936
64	202	2917
65	204	2890
66	205	2860
67	207	2837
68	208	2815
69	210	2796
70	212	2776
71	213	2755
72	215	2737
73	217	2719
74	218	2700
75	220	2675
76	221	2650
77	222	2630
78	224	2616
79	226	2604
80	228	2587
81	229	2569
82	230	2544
83	232	2530
84	233	2514
85	235	2498
86	236	2478
87	237	2463
88	239	2450
89	241	2438
90	242	2423
91	243	2404
92	244	2387
93	246	2372
94	247	2361
95	249	2349
96	250	2335
97	251	2317
98	252	2300
99	254	2289
100	255	2278
101	257	2266
102	258	2253
103	260	2242
104	261	2231
105	263	2219
106	264	2205
107	265	2191
108	266	2178
109	267	2164
110	268	2149
111	269	2138
112	270	2124
113	271	2110
114	272	2097
115	273	2083
116	274	2069
117	275	2056
118	276	2043
119	277	2032
120	278	2022
121	279	2010
122	280	2001
123	281	1991
124	283	1981
125	284	1972
126	285	1962
127	286	1951
128	287	1940
129	288	1928
130	289	1917
131	289	1906
132	290	1895
133	291	1886
134	293	1878
135	294	1868
136	295	1859
137	296	1850
138	297	1841
139	298	1832
140	299	1825
141	300	1815
142	301	1807
143	302	1799
144	303	1790
145	304	1782
146	305	1772
147	306	1764
148	307	1757
149	308	1750
150	309	1741
151	310	1733
152	311	1725
153	312	1716
154	313	1708
155	314	1700
156	315	1694
157	316	1688
158	317	1680
159	318	1673
160	319	1664
161	320	1657
162	321	1650
163	322	1643
164	323	1638
165	324	1632
166	325	1625
167	326	1618
168	327	1612
169	328	1605
170	330	1599
171	331	1594
172	332	1588
173	333	1582
174	334	1576
175	335	1570
176	336	1564
177	337	1558
178	338	1554
179	339	1548
180	340	1542
181	341	1535
182	342	1529
183	343	1523
184	344	1517
185	345	1513
186	346	1507
187	347	1502
188	348	1496
189	349	1490
190	350	1484
191	351	1478
192	352	1472
193	353	1466
194	354	1462
195	355	1456
196	355	1450
197	356	1444
198	357	1438
199	358	1432
200	358	1426
201	359	1421
202	360	1416
203	361	1412
204	362	1407
205	363	1401
206	364	1396
207	365	1391
208	366	1385
209	366	1380
210	367	1375
211	369	1371
212	370	1367
213	370	1362
214	371	1357
215	372	1352
216	373	1348
217	374	1343
218	375	1338
219	376	1334
220	377	1331
221	378	1326
222	379	1322
223	380	1317
224	381	1313
225	382	1308
226	382	1304
227	384	1300
228	385	1297
229	386	1293
230	387	1288
231	388	1284
232	388	1280
233	389	1276
234	390	1271
235	391	1267
236	392	1263
237	393	1260
238	394	1256
239	395	1252
240	396	1248
241	397	1243
242	397	1239
243	398	1235
244	399	1231
245	400	1228
246	401	1225
247	402	1220
248	403	1216
249	404	1213
250	405	1209
251	406	1205
252	407	1202
253	408	1198
254	409	1195
255	410	1192
256	411	1188
257	412	1185
258	413	1182
259	414	1179
260	415	1175
261	416	1172
262	416	1168
263	417	1164
264	418	1161
265	419	1157
266	420	1154
267	421	1150
268	422	1147
269	423	1144
270	424	1141
271	425	1138
272	426	1134
273	426	1131
274	427	1127
275	428	1124
276	429	1121
277	430	1118
278	431	1115
279	432	1112
280	433	1109
281	434	1106
282	435	1103
283	436	1099
284	437	1097
285	438	1094
286	439	1091
287	440	1088
288	440	1084
289	441	1081
290	442	1078
291	443	1075
292	444	1072
293	445	1069
294	446	1066
295	447	1063
296	448	1060
297	448	1057
298	449	1054
299	450	1051
300	451	1048
301	452	1045
302	453	1042
303	454	1040
304	455	1037
305	456	1034
306	457	1031
307	457	1028
308	458	1025
309	459	1022
310	460	1020
311	461	1017
312	462	1015
313	463	1012
314	464	1009
315	465	1006
316	465	1003
317	466	1001
318	467	998
319	468	996
320	470	994
321	471	992
322	472	989
323	473	987
324	474	985
325	475	982
326	476	980
327	477	978
328	478	975
329	479	973
330	480	970
331	480	967
332	481	965
333	482	962
334	483	959
335	484	957
336	485	955
337	486	953
338	487	950
339	488	948
340	489	946
341	490	944
342	491	942
343	493	940
344	493	937
345	494	935
346	495	933
347	496	930
348	497	928
349	498	926
350	499	923
351	500	921
352	502	920
353	503	918
354	504	916
355	505	914
356	506	911
357	507	909
358	508	907
359	509	905
360	510	903
361	511	900
362	511	898
363	512	895
364	513	893
